Frequency,Sdd11,Sdd21
 (9.999999999999998510e+07+0.000000000000000000e+00j)  (-2.299723646589912907e-02-2.946805814995262507e-03j)  (8.491558096649476362e-01-3.610890498068251020e-01j)
 (1.999999999999999702e+08+0.000000000000000000e+00j)  (-2.638869100404109269e-02-3.685937622117552159e-03j)  (6.302735874602475308e-01-6.290405224830060149e-01j)
 (3.000000000000000000e+08+0.000000000000000000e+00j)  (-2.937568856404421114e-02-1.630599978582707860e-03j)  (3.582752168362552392e-01-7.806668293434750883e-01j)
 (3.999999999999999404e+08+0.000000000000000000e+00j)  (-3.029171482439274588e-02+2.013195895170877270e-03j)  (7.805286453022561299e-02-8.382914105666061655e-01j)
 (4.999999999999999404e+08+0.000000000000000000e+00j)  (-2.868323330609695576e-02+5.507954562061684323e-03j)  (-2.012089512111754908e-01-8.204333285114909780e-01j)
 (6.000000000000000000e+08+0.000000000000000000e+00j)  (-2.535264647400371080e-02+7.162669168543578380e-03j)  (-4.782608865791923014e-01-7.212829346174670642e-01j)
 (7.000000000000000000e+08+0.000000000000000000e+00j)  (-2.228452014576298712e-02+6.731129296417115437e-03j)  (-7.295328407886639832e-01-5.174243422018530714e-01j)
 (7.999999999999998808e+08+0.000000000000000000e+00j)  (-1.969125116553380184e-02+5.609341454411135783e-03j)  (-8.922593452496612176e-01-2.033598120508535723e-01j)
 (9.000000000000000000e+08+0.000000000000000000e+00j)  (-1.719452740781901579e-02+2.667397847636920893e-03j)  (-8.983317978976035345e-01+1.628515084276461744e-01j)
 (9.999999999999998808e+08+0.000000000000000000e+00j)  (-1.743757969419749976e-02-1.888312274855308281e-03j)  (-7.468995874849082561e-01+4.807995490248594406e-01j)
 (1.100000000000000000e+09+0.000000000000000000e+00j)  (-2.066153609351813192e-02-4.868548482699686097e-03j)  (-5.046049726370827049e-01+6.914612011518923573e-01j)
 (1.200000000000000000e+09+0.000000000000000000e+00j)  (-2.435434609016867702e-02-5.029414984089985996e-03j)  (-2.337919684357938899e-01+7.987113498606983608e-01j)
 (1.300000000000000000e+09+0.000000000000000000e+00j)  (-2.665110015972921298e-02-3.453379099314840550e-03j)  (4.118798844242094886e-02+8.248017780086196460e-01j)
 (1.400000000000000000e+09+0.000000000000000000e+00j)  (-2.717896882781106749e-02-1.805792230548233790e-03j)  (3.178308696145443757e-01+7.755680020189650303e-01j)
 (1.500000000000000000e+09+0.000000000000000000e+00j)  (-2.674176735812416883e-02-1.446821604461294430e-03j)  (5.862385306288646625e-01+6.340263377377761689e-01j)
 (1.599999999999999762e+09+0.000000000000000000e+00j)  (-2.705498555080418366e-02-2.798717704551034746e-03j)  (8.032577183538862631e-01+3.803909127645506150e-01j)
 (1.700000000000000238e+09+0.000000000000000000e+00j)  (-2.987605924821480630e-02-4.543982734923401878e-03j)  (8.968129607899755218e-01+3.754475651998084862e-02j)
 (1.800000000000000000e+09+0.000000000000000000e+00j)  (-3.517780948326562629e-02-3.970291128828587479e-03j)  (8.267816958552589579e-01-3.090281175032740801e-01j)
 (1.900000000000000000e+09+0.000000000000000000e+00j)  (-4.045396243378002188e-02+7.779455548425490141e-04j)  (6.309527142396982313e-01-5.738797050124986310e-01j)
 (1.999999999999999762e+09+0.000000000000000000e+00j)  (-4.245675173586843654e-02+8.949424977726355701e-03j)  (3.785067369635873313e-01-7.327098097486526296e-01j)
 (2.100000000000000000e+09+0.000000000000000000e+00j)  (-3.946265237517611324e-02+1.767285440529078877e-02j)  (1.112879766670027137e-01-8.024316435903784406e-01j)
 (2.200000000000000000e+09+0.000000000000000000e+00j)  (-3.202075151037891976e-02+2.385938624872412095e-02j)  (-1.603626120060546445e-01-7.977415552604592008e-01j)
 (2.300000000000000000e+09+0.000000000000000000e+00j)  (-2.211740150845164024e-02+2.534840345011521445e-02j)  (-4.330712417840770767e-01-7.117712855705695674e-01j)
 (2.400000000000000000e+09+0.000000000000000000e+00j)  (-1.276789760296881404e-02+2.109555151389441718e-02j)  (-6.822210825326076034e-01-5.222810446497661019e-01j)
 (2.500000000000000000e+09+0.000000000000000000e+00j)  (-7.709001964538914065e-03+1.217727114200619493e-02j)  (-8.471784426207014107e-01-2.254087856966706660e-01j)
 (2.600000000000000000e+09+0.000000000000000000e+00j)  (-9.240866186186094677e-03+2.544580786707301145e-03j)  (-8.643704293206921907e-01+1.235349237887939378e-01j)
 (2.700000000000000000e+09+0.000000000000000000e+00j)  (-1.583032252433916320e-02-3.262200368670253869e-03j)  (-7.323520054665941803e-01+4.318356335393771506e-01j)
 (2.800000000000000000e+09+0.000000000000000000e+00j)  (-2.343118604900770729e-02-3.646408729435279827e-03j)  (-5.101400098807793437e-01+6.440011632150384191e-01j)
 (2.900000000000000000e+09+0.000000000000000000e+00j)  (-2.888862562729851979e-02-6.593933672043028604e-05j)  (-2.538365938382909914e-01+7.602189566941999210e-01j)
