Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
J1,HDMI_A,HDMI_A_Amphenol_10029449-x01xLF_Horizontal,221.572,-99.695,90.0,top
J2,HDMI_A,HDMI_A_Amphenol_10029449-x01xLF_Horizontal,57.9296,-100.0,-90.0,top
